Team,Blitz Rate,Light Box Rate,Heavy Box Rate,Sub Package Rate
Vikings,48,26.6,36.9,43
Falcons,33.9,40.8,27.6,67
Broncos,31.9,43.8,22.4,71
Chiefs,31.4,42.6,25.8,65
Dolphins,31,44.3,29.7,63
Buccaneers,30.7,36.5,30.3,62
Giants,29.8,48.1,23.9,71
Steelers,29.6,41.8,27.5,61
Bears,28.2,40.7,26.9,85
Cowboys,28.2,45.3,24.9,69
Browns,27.8,32.9,35.2,60
Colts,27.7,42.7,24.8,80
Patriots,27.2,48.1,22.4,73
Jets,27.2,36.7,34.4,68
Panthers,26.6,48.7,21.4,72
Commanders,26.6,40.8,24.6,70
Jaguars,25.8,49.9,19,74
Saints,24.9,42.3,28,62
Cardinals,23.9,41.2,28.9,57
Lions,23.7,41.4,33.7,34
Ravens,23.2,44.4,24.8,87
Texans,21.9,48,21.5,73
49ers,21.7,53.3,19.9,81
Seahawks,21.7,54.4,16.9,92
Raiders,21.7,37.1,35.4,42
Bills,21.1,42.9,24.9,77
Packers,21,44.6,23.3,62
Titans,20.8,44.5,26.5,70
Chargers,18.9,55.1,18.9,78
Eagles,18.5,60.1,14.7,75
Rams,18.1,56.1,18.6,74
Bengals,17.1,43.8,25.5,70
