season,team,head_coach,offensive_coordinator,offensive_playcaller,defensive_coordinator,general_manager,as_of,source_url
2026,ARI,Mike LaFleur,Nathaniel Hackett,Mike LaFleur,Nick Rallis,Monti Ossenfort,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,ATL,Kevin Stefanski,Tommy Rees,Tommy Rees,Jeff Ulbrich,Ian Cunningham,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,BAL,Jesse Minter,Declan Doyle,Declan Doyle,Anthony Weaver,Eric DeCosta,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,BUF,Joe Brady,Pete Carmichael Jr.,Joe Brady,Jim Leonhard,Brandon Beane,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,CAR,Dave Canales,Brad Idzik,Brad Idzik,Ejiro Evero,Dan Morgan,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,CHI,Ben Johnson,Press Taylor,Ben Johnson,Dennis Allen,Ryan Poles,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,CIN,Zac Taylor,Dan Pitcher,Zac Taylor,Al Golden,Duke Tobin,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,CLE,Todd Monken,Travis Switzer,Todd Monken,Mike Rutenberg,Andrew Berry,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,DAL,Brian Schottenheimer,Klayton Adams,Brian Schottenheimer,Christian Parker,Jerry Jones,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,DEN,Sean Payton,Davis Webb,Davis Webb,Vance Joseph,George Paton,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,DET,Dan Campbell,Drew Petzing,Drew Petzing,Kelvin Sheppard,Brad Holmes,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,GNB,Matt LaFleur,Adam Stenavich,Matt LaFleur,Jonathan Gannon,Brian Gutekunst,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,HOU,DeMeco Ryans,Nick Caley,Nick Caley,Matt Burke,Nick Caserio,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,IND,Shane Steichen,Jim Bob Cooter,Shane Steichen,Lou Anarumo,Chris Ballard,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,JAC,Liam Coen,Grant Udinski,Liam Coen,Anthony Campanile,James Gladstone,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,KAN,Andy Reid,Eric Bieniemy,Andy Reid,Steve Spagnuolo,Brett Veach,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,LAC,Jim Harbaugh,Mike McDaniel,Mike McDaniel,Chris O'Leary,Joe Horitz,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,LAR,Sean McVay,Nate Scheelhaase,Sean McVay,Chris Shula,Les Snead,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,LV,Klint Kubiak,Andrew Janocko,Klint Kubiak,Rob Leonard,John Spytek,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,MIA,Jeff Hafley,Bobby Slowik,Bobby Slowik,Sean Duggan,Jon-Eric Sullivan,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,MIN,Kevin O'Connell,Wes Phillips,Kevin O'Connell,Brian Flores,Nolan Teasley,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,NWE,Mike Vrabel,Josh McDaniels,Josh McDaniels,Zak Kuhr,Eliot Wolf,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,NOR,Kellen Moore,Doug Nussmeier,Kellen Moore,Brandon Staley,Mickey Loomis,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,NYG,John Harbaugh,Matt Nagy,Matt Nagy,Dennard Wilson,Joe Schoen,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,NYJ,Aaron Glenn,Frank Reich,Frank Reich,Brian Duker,Darren Mougey,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,PHI,Nick Sirianni,Sean Mannion,Sean Mannion,Vic Fangio,Howie Roseman,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,PIT,Mike McCarthy,Brian Angelichio,Mike McCarthy,Patrick Graham,Omar Khan,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,SEA,Mike Macdonald,Brian Fleury,Brian Fleury,Aden Durde,John Schneider,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,SFO,Kyle Shanahan,Klay Kubiak,Kyle Shanahan,Raheem Morris,John Lynch,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,TAM,Todd Bowles,Zac Robinson,Zac Robinson,Todd Bowles,Jason Licht,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,TEN,Robert Saleh,Brian Daboll,Brian Daboll,Gus Bradley,Mike Borgonzi,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
2026,WAS,Dan Quinn,David Blough,David Blough,Daronte Jones,Adam Peters,2026-09-09,https://g.espncdn.com/s/ffldraftkit/26/NFLDK2026_CS_ClayProjections2026.pdf
