scope,season,policy,source_games,keep_n,fade_n,pass_n,acted_n,n,wins,hit_rate,hit_rate_ci95,mean_aligned_residual,mean_aligned_residual_bootstrap_ci95,median_aligned_residual,worst_aligned_miss,best_aligned_result
pooled,,baseline_keep_all_full_convergence,155,155,0,0,155,155,82,0.529,0.4507|0.606,3.934,1.408|6.556,3.0,-31.0,47.833
pooled,,pass_narrative_missing,155,143,0,12,143,143,77,0.5385,0.4568|0.6181,4.3,1.588|7.05,3.333,-31.0,47.833
pooled,,pass_spread_14_plus,155,121,0,34,121,121,69,0.5702,0.4812|0.655,4.891,2.035|8.168,3.75,-31.0,47.833
pooled,,fade_spread_14_plus,155,121,34,0,155,155,90,0.5806,0.5019|0.6555,3.702,1.119|6.488,4.0,-42.0,47.833
pooled,,pass_missing_and_fade_14_plus,155,111,32,12,143,143,83,0.5804,0.4985|0.6582,3.703,1.261|6.404,4.0,-42.0,47.833
pooled,,pass_weak_confirmation,155,78,0,77,78,78,40,0.5128,0.4039|0.6205,4.284,0.454|7.846,2.312,-26.5,47.833
pooled,,pass_missing_and_weak_fade_14_plus,155,55,17,83,72,72,41,0.5694,0.4544|0.6774,3.239,-0.596|7.113,3.875,-42.0,47.833
year,2020,baseline_keep_all_full_convergence,12,12,0,0,12,12,5,0.4167,0.1933|0.6805,-0.424,-10.618|10.744,-4.8,-23.583,33.2
year,2021,baseline_keep_all_full_convergence,36,36,0,0,36,36,16,0.4444,0.2954|0.6042,2.012,-2.551|7.026,-0.562,-30.5,35.375
year,2022,baseline_keep_all_full_convergence,25,25,0,0,25,25,12,0.48,0.3003|0.665,1.35,-5.255|8.25,-3.5,-26.5,42.0
year,2023,baseline_keep_all_full_convergence,23,23,0,0,23,23,13,0.5652,0.3681|0.7437,3.986,-1.71|10.007,4.0,-31.0,31.667
year,2024,baseline_keep_all_full_convergence,30,30,0,0,30,30,17,0.5667,0.392|0.7262,6.819,1.158|12.395,3.417,-19.167,41.667
year,2025,baseline_keep_all_full_convergence,29,29,0,0,29,29,19,0.6552,0.4735|0.8006,7.328,1.333|13.736,6.5,-24.167,47.833
year,2020,pass_narrative_missing,12,0,0,12,0,0,,,,,,,,
year,2021,pass_narrative_missing,36,36,0,0,36,36,16,0.4444,0.2954|0.6042,2.012,-2.628|6.966,-0.562,-30.5,35.375
year,2022,pass_narrative_missing,25,25,0,0,25,25,12,0.48,0.3003|0.665,1.35,-5.255|8.275,-3.5,-26.5,42.0
year,2023,pass_narrative_missing,23,23,0,0,23,23,13,0.5652,0.3681|0.7437,3.986,-2.109|9.914,4.0,-31.0,31.667
year,2024,pass_narrative_missing,30,30,0,0,30,30,17,0.5667,0.392|0.7262,6.819,1.101|12.857,3.417,-19.167,41.667
year,2025,pass_narrative_missing,29,29,0,0,29,29,19,0.6552,0.4735|0.8006,7.328,2.138|13.649,6.5,-24.167,47.833
