scope,season,threshold,confirmation_count,n,wins,losses,pushes,decisions,win_rate_ex_pushes,roi_minus_110,roi_minus_105,roi_even_money,mean_aligned_residual,median_aligned_residual
pooled,,0.5,0,0,0,0,0,0,,,,,,
pooled,,0.5,1,221,130,91,0,221,0.5882,0.123,0.1485,0.1765,2.206,3.167
pooled,,0.5,2,1341,718,620,3,1338,0.5366,0.0245,0.0477,0.0732,1.792,1.5
pooled,,1.0,0,0,0,0,0,0,,,,,,
pooled,,1.0,1,43,27,16,0,43,0.6279,0.1987,0.2259,0.2558,5.539,4.667
pooled,,1.0,2,688,353,335,0,688,0.5131,-0.0205,0.0017,0.0262,1.121,0.833
pooled,,1.5,0,0,0,0,0,0,,,,,,
pooled,,1.5,1,6,2,4,0,6,0.3333,-0.3636,-0.3492,-0.3333,-0.583,-1.917
pooled,,1.5,2,246,138,108,0,246,0.561,0.071,0.0952,0.122,2.579,2.5
year,2023,0.5,0,0,0,0,0,0,,,,,,
year,2023,0.5,1,72,40,32,0,72,0.5556,0.0606,0.0847,0.1111,1.459,2.625
year,2023,0.5,2,470,257,213,0,470,0.5468,0.0439,0.0676,0.0936,2.26,2.167
year,2023,1.0,0,0,0,0,0,0,,,,,,
year,2023,1.0,1,16,10,6,0,16,0.625,0.1932,0.2202,0.25,7.448,2.625
year,2023,1.0,2,281,139,142,0,281,0.4947,-0.0556,-0.0342,-0.0107,1.069,-0.25
year,2023,1.5,0,0,0,0,0,0,,,,,,
year,2023,1.5,1,3,1,2,0,3,0.3333,-0.3636,-0.3492,-0.3333,6.444,-0.333
year,2023,1.5,2,113,58,55,0,113,0.5133,-0.0201,0.0021,0.0265,0.914,0.5
year,2024,0.5,0,0,0,0,0,0,,,,,,
year,2024,0.5,1,82,50,32,0,82,0.6098,0.1641,0.1905,0.2195,2.62,3.583
year,2024,0.5,2,426,239,186,1,425,0.5624,0.0736,0.0979,0.1247,2.403,2.083
year,2024,1.0,0,0,0,0,0,0,,,,,,
year,2024,1.0,1,14,7,7,0,14,0.5,-0.0455,-0.0238,0.0,3.012,2.917
year,2024,1.0,2,211,122,89,0,211,0.5782,0.1038,0.1289,0.1564,2.706,3.167
year,2024,1.5,0,0,0,0,0,0,,,,,,
year,2024,1.5,1,2,0,2,0,2,0.0,-1.0,-1.0,-1.0,-12.75,-12.75
year,2024,1.5,2,77,51,26,0,77,0.6623,0.2645,0.2931,0.3247,6.027,4.833
year,2025,0.5,0,0,0,0,0,0,,,,,,
year,2025,0.5,1,67,40,27,0,67,0.597,0.1398,0.1656,0.194,2.501,3.0
year,2025,0.5,2,445,222,221,2,443,0.5011,-0.0433,-0.0216,0.0023,0.714,0.0
year,2025,1.0,0,0,0,0,0,0,,,,,,
year,2025,1.0,1,13,10,3,0,13,0.7692,0.4685,0.5018,0.5385,5.91,5.333
year,2025,1.0,2,196,92,104,0,196,0.4694,-0.1039,-0.0836,-0.0612,-0.511,-1.583
year,2025,1.5,0,0,0,0,0,0,,,,,,
year,2025,1.5,1,1,1,0,0,1,1.0,0.9091,0.9524,1.0,2.667,2.667
year,2025,1.5,2,56,29,27,0,56,0.5179,-0.0114,0.0111,0.0357,1.197,0.5
