adjusted_decisions,adjusted_losses,adjusted_mean_aligned_residual,adjusted_n,adjusted_pushes,adjusted_win_rate_ex_pushes,adjusted_wins,error_adjusted_mae,error_mae_delta_adjusted_minus_original,error_n,error_original_mae,original_decisions,original_losses,original_mean_aligned_residual,original_n,original_pushes,original_win_rate_ex_pushes,original_wins,scope,value
815,407,-0.046,822,7,0.5006,408,13.355,0.0,822,13.355,815,396,0.484,822,7,0.5141,419,by_season,2022
849,380,2.446,850,1,0.5524,469,13.433,-0.009,850,13.442,849,397,1.639,850,1,0.5324,452,by_season,2023
857,403,1.674,860,3,0.5298,454,12.978,0.044,860,12.933,857,393,1.745,860,3,0.5414,464,by_season,2024
926,444,0.908,934,8,0.5205,482,12.919,0.063,934,12.856,926,456,0.46,934,8,0.5076,470,by_season,2025
1389,647,1.866,1394,5,0.5342,742,13.31,0.106,1394,13.204,1389,658,1.727,1394,5,0.5263,731,by_narrative_relation_to_fl,agrees
860,428,0.103,867,7,0.5023,432,13.235,0.0,867,13.235,860,418,0.549,867,7,0.514,442,by_narrative_relation_to_fl,missing_or_neutral
1198,559,1.36,1205,7,0.5334,639,12.942,-0.048,1205,12.99,1198,566,0.695,1205,7,0.5275,632,by_narrative_relation_to_fl,opposes
508,236,1.131,514,6,0.5354,272,12.284,0.043,514,12.24,508,251,0.527,514,6,0.5059,257,by_opening_edge_bucket,1-1.99
433,219,-0.031,436,3,0.4942,214,13.532,0.011,436,13.521,433,206,0.972,436,3,0.5242,227,by_opening_edge_bucket,2-2.99
734,345,1.383,737,3,0.53,389,12.605,0.03,737,12.574,734,334,1.76,737,3,0.545,400,by_opening_edge_bucket,3-4.99
784,374,1.134,785,1,0.523,410,13.726,0.035,785,13.692,784,374,1.134,785,1,0.523,410,by_opening_edge_bucket,5-7.99
474,216,2.012,477,3,0.5443,258,13.77,0.006,477,13.764,474,216,2.012,477,3,0.5443,258,by_opening_edge_bucket,8+
514,244,1.725,517,3,0.5253,270,13.106,0.018,517,13.088,514,261,-0.233,517,3,0.4922,253,by_opening_edge_bucket,<1
1998,955,1.427,2010,12,0.522,1043,13.312,0.062,2010,13.25,1998,956,1.486,2010,12,0.5215,1042,by_model_direction,over
1449,679,1.003,1456,7,0.5314,770,12.958,-0.024,1456,12.982,1449,686,0.505,1456,7,0.5266,763,by_model_direction,under
