season,tag,train_n,train_raw_mean_total_residual,train_shrunk_adjustment,test_n,test_mean_total_residual,direction_persisted
2022,statement_win,0,,,107,1.954,
2022,upset_win,0,,,184,-1.133,
2022,bad_loss,0,,,319,-0.967,
2022,upset_loss,0,,,163,-1.045,
2022,letdown_candidate,0,,,73,1.536,
2022,bounceback_candidate,0,,,342,-0.784,
2022,won_big_then_underdog,0,,,46,3.902,
2022,market_darling,0,,,245,0.135,
2022,market_skepticism,0,,,196,-1.159,
2022,market_chase,0,,,275,0.022,
2022,market_lag,0,,,250,0.733,
2022,lookahead_candidate,0,,,479,0.16,
2022,sandwich_candidate,0,,,280,0.175,
2022,disputed_team,0,,,588,0.413,
2023,statement_win,107,1.954,1.332,102,1.798,True
2023,upset_win,184,-1.133,-0.891,191,0.713,False
2023,bad_loss,319,-0.967,-0.836,322,1.445,False
2023,upset_loss,163,-1.045,-0.8,141,1.968,False
2023,letdown_candidate,73,1.536,0.912,90,2.283,True
2023,bounceback_candidate,342,-0.784,-0.684,349,1.551,False
2023,won_big_then_underdog,46,3.902,1.87,35,1.337,True
2023,market_darling,245,0.135,0.112,270,1.233,True
2023,market_skepticism,196,-1.159,-0.923,220,0.832,False
2023,market_chase,275,0.022,0.018,282,0.916,True
2023,market_lag,250,0.733,0.611,272,-0.146,False
2023,lookahead_candidate,479,0.16,0.145,466,2.067,True
2023,sandwich_candidate,280,0.175,0.148,281,3.183,True
2023,disputed_team,588,0.413,0.381,614,1.262,True
2024,statement_win,209,1.878,1.515,112,0.821,True
2024,upset_win,375,-0.193,-0.17,206,1.416,False
2024,bad_loss,641,0.244,0.227,323,0.189,True
2024,upset_loss,304,0.353,0.303,136,-1.078,False
2024,letdown_candidate,163,1.948,1.491,82,2.247,True
2024,bounceback_candidate,691,0.396,0.369,338,0.313,True
2024,won_big_then_underdog,81,2.794,1.727,40,-4.025,False
2024,market_darling,515,0.71,0.648,260,0.838,True
2024,market_skepticism,416,-0.106,-0.095,255,0.684,False
2024,market_chase,557,0.475,0.436,288,1.335,True
2024,market_lag,522,0.275,0.251,256,0.983,True
2024,lookahead_candidate,945,1.1,1.045,484,1.119,True
2024,sandwich_candidate,561,1.682,1.544,284,2.358,True
2024,disputed_team,1202,0.847,0.813,619,2.007,True
2025,statement_win,321,1.509,1.306,100,-2.414,False
2025,upset_win,581,0.378,0.348,208,-0.886,False
2025,bad_loss,964,0.226,0.215,347,-0.695,False
2025,upset_loss,440,-0.09,-0.081,142,0.996,False
2025,letdown_candidate,245,2.048,1.701,95,-1.024,False
2025,bounceback_candidate,1029,0.368,0.351,369,-0.723,False
2025,won_big_then_underdog,121,0.54,0.382,33,-1.197,False
2025,market_darling,775,0.753,0.708,335,-0.11,False
2025,market_skepticism,671,0.194,0.181,287,1.376,True
2025,market_chase,845,0.768,0.725,298,-0.465,False
2025,market_lag,778,0.508,0.477,274,-0.972,False
2025,lookahead_candidate,1429,1.107,1.069,510,0.491,True
2025,sandwich_candidate,845,1.909,1.802,286,-0.204,False
2025,disputed_team,1821,1.241,1.208,629,0.399,True
